ID,Peer,Task,Date
1,butterba,SQL_beginner.Day00,'2023-09-01'
2,butterba,SQL_beginner.Day01,'2023-09-02'
3,butterba,SQL_beginner.Day02,'2023-09-03'
4,butterba,SQL_beginner.Day03,'2023-09-04'
5,butterba,SQL_beginner.Day04,'2023-09-05'
6,butterba,SQL_beginner.Team_00,'2023-09-06'
7,butterba,SQL_beginner.Day05,'2023-09-07'
8,butterba,SQL_beginner.Day06,'2023-09-08'
9,butterba,SQL_beginner.Day07,'2023-09-09'
10,butterba,SQL_beginner.Day08,'2023-09-10'
11,butterba,SQL_beginner.Day09,'2023-09-11'
12,butterba,SQL_beginner.Team_01,'2023-09-12'
13,butterba,SQL2_Info21_v1.0,'2023-09-13'
14,butterba,SQL3_RetailAnalitycs_v1.0,'2023-09-14'
